,Indicator,Value,City
3,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.5,Abbotsford
13,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.4,Campbell River
23,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.5,Chilliwack
33,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.3,Kamloops
43,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.8,Kelowna
53,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.9,Nanaimo
63,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.0,Penticton
73,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.8,Vancouver
83,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),2.6,Vernon
93,Heart failure age-standardized prevalence rate per 100 population (1+ yrs),1.6,Victoria
