,Indicator,Value,City
0,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),16.9,Abbotsford
10,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),14.2,Campbell River
20,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.9,Chilliwack
30,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),14.1,Kamloops
40,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.4,Kelowna
50,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),13.4,Nanaimo
60,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.8,Penticton
70,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),10.9,Vancouver
80,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),13.1,Vernon
90,Asthma age-standardized prevalence rate per 100 population (5-54 yrs),12.1,Victoria
