,Indicator,Value,City
8,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.1,Abbotsford
18,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.2,Campbell River
28,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.2,Chilliwack
38,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.4,Kamloops
48,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Kelowna
58,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.4,Nanaimo
68,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.3,Penticton
78,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Vancouver
88,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),4.3,Vernon
98,Heart failure age-standardized incidence rate per 1000 population (1+ yrs),3.0,Victoria
