,Indicator,Value,City
9,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),28.2,Abbotsford
19,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),18.9,Campbell River
29,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),24.4,Chilliwack
39,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),20.0,Kamloops
49,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),22.3,Kelowna
59,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.7,Nanaimo
69,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),19.1,Penticton
79,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.5,Vancouver
89,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),24.3,Vernon
99,Hypertension age-standardized incidence rate per 1000 population (20+ yrs),16.7,Victoria
