,Indicator,Value,City
1,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),6.1,Abbotsford
11,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),8.2,Campbell River
21,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.4,Chilliwack
31,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),9.3,Kamloops
41,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.6,Kelowna
51,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),6.6,Nanaimo
61,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),7.9,Penticton
71,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),5.1,Vancouver
81,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),9.2,Vernon
91,Chronic obstructive pulmonary disease (COPD) age-standardized prevalence rate per 100 population (45+ yrs),5.1,Victoria
