,Indicator,Value,City
4,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),27.3,Abbotsford
14,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.6,Campbell River
24,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),24.2,Chilliwack
34,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),23.1,Kamloops
44,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),21.3,Kelowna
54,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),20.9,Nanaimo
64,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.4,Penticton
74,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),21.4,Vancouver
84,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),22.2,Vernon
94,Hypertension age-standardized prevalence rate per 100 population (20+ yrs),20.7,Victoria
