,Indicator,Value,City
6,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),7.4,Abbotsford
16,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),13.6,Campbell River
26,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),8.2,Chilliwack
36,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),11.8,Kamloops
46,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),9.7,Kelowna
56,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),8.6,Nanaimo
66,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),10.7,Penticton
76,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),5.6,Vancouver
86,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),12.1,Vernon
96,Chronic obstructive pulmonary disease (COPD) age-standardized incidence rate per 1000 population (45+ yrs),6.4,Victoria
