,Indicator,Value,City
5,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),8.2,Abbotsford
15,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),8.1,Campbell River
25,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.7,Chilliwack
35,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.7,Kamloops
45,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.8,Kelowna
55,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.0,Nanaimo
65,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.8,Penticton
75,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),5.5,Vancouver
85,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.9,Vernon
95,Asthma age-standardized incidence rate per 1000 population (5-54 yrs),6.1,Victoria
